frame,ssim,mse,text,trans
762,99.89,1.445166064032418e-06,,
763,99.95,1.445166064032418e-06,,
764,99.95,2.890332128064836e-06,,
765,99.98,1.445166064032418e-06,,
766,99.95,2.890332128064836e-06,,
767,100.0,0.0,,
768,100.0,0.0,,
769,100.0,0.0,,
770,99.89,1.445166064032418e-06,,
771,99.98,1.445166064032418e-06,,
772,99.99,1.445166064032418e-06,,
773,99.95,1.445166064032418e-06,,
774,99.99,0.0,,
775,99.94,1.445166064032418e-06,,
776,99.93,1.445166064032418e-06,,
777,99.99,0.0,,
778,99.78,4.335498192097253e-06,,
779,99.93,1.445166064032418e-06,,
780,99.97,0.0,,
781,99.89,2.890332128064836e-06,,
782,99.98,1.445166064032418e-06,,
783,100.0,0.0,,
784,100.0,0.0,,
